Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.998071580813995,1.806710541627876e-05
164.52374695419385,-6.28816221072088,1.9369021977567993e-05
180.45375541231755,-6.606785886872747,2.080274128776473e-05
197.92618661593409,-6.956712041563596,2.2370404714431545e-05
217.09038561605675,-7.341008255247179,2.4150495753816397e-05
238.11015779522984,-7.763045925325672,2.6110713453718968e-05
261.1651689888373,-8.226522711809617,2.8223695967364316e-05
286.45248117312485,-8.73550200476661,3.050775006838322e-05
314.18823684618803,-9.294442197361274,3.296165538555267e-05
344.60950649911035,-9.908237373977357,3.561138921402807e-05
377.97631496846196,-10.58227031298631,3.847520592227679e-05
414.57386399033265,-11.322452003010808,4.154643442320668e-05
454.71496995311946,-12.135278719242887,4.478409947615469e-05
498.7427376856724,-13.027889341320773,4.8288726976449677e-05
547.0334931349296,-14.008129110456087,5.199011389015247e-05
599.9999999999997,-15.084424039340831,5.6457135260294696e-05
