Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.000973014668021,1.208561972484551e-06
164.52374695419385,-6.291197094852431,1.952965551116907e-06
180.45375541231755,-6.6099000459435375,3.0981098019882875e-06
197.92618661593409,-6.959875539793641,4.1306476353719855e-06
217.09038561605675,-7.344187501701202,5.193218007820388e-06
238.11015779522984,-7.766204095409249,6.350380136106899e-06
261.1651689888373,-8.229624004965768,7.6047636034710696e-06
286.45248117312485,-8.73850791488746,9.058025130217233e-06
314.18823684618803,-9.297310511837749,1.0631869641274163e-05
344.60950649911035,-9.910930391313148,1.2367149414435768e-05
377.97631496846196,-10.584750219284803,1.4286703829286384e-05
414.57386399033265,-11.32466887204455,1.6429295850959817e-05
454.71496995311946,-12.137161053823627,1.88205546316948e-05
498.7427376856724,-13.029347918407842,2.1469810531725966e-05
547.0334931349296,-14.009056780582446,2.4373208743780574e-05
599.9999999999997,-15.084865772612549,2.7633601260100208e-05
