Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.999996451639541,1.903797753531377e-05
164.52374695419385,-6.290422252906654,2.0341852389475037e-05
180.45375541231755,-6.609425082042319,2.178172404238611e-05
197.92618661593409,-6.959792978817807,2.3368167932205336e-05
217.09038561605675,-7.344587391859802,2.5130091629961273e-05
238.11015779522984,-7.7671745799073575,2.7051042466537433e-05
261.1651689888373,-8.231258434398859,2.9177597343684284e-05
286.45248117312485,-8.740929055809477,3.158315297745194e-05
314.18823684618803,-9.300667963474838,3.4265305981198134e-05
344.60950649911035,-9.915379715636977,3.718701242502173e-05
377.97631496846196,-10.590438143059746,4.0375774668062464e-05
414.57386399033265,-11.3317409467124,4.386176013064995e-05
454.71496995311946,-12.145810399912893,4.762358472571687e-05
498.7427376856724,-13.039832069811926,5.173321744016188e-05
547.0334931349296,-14.0216387421334,5.6228479235937214e-05
599.9999999999997,-15.099536721262385,6.138265599352455e-05
