Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.004104902831296,1.2340777513091885e-06
164.52374695419385,-6.294465964062302,1.9465668158870003e-06
180.45375541231755,-6.613314959242736,3.029709489833388e-06
197.92618661593409,-6.963447844286125,4.0919215154200334e-06
217.09038561605675,-7.347932095542701,5.215789154239064e-06
238.11015779522984,-7.770135446229496,6.3900445428144084e-06
261.1651689888373,-8.233756506279054,7.696348386057933e-06
286.45248117312485,-8.742856458727404,9.069065683778875e-06
314.18823684618803,-9.301905002411035,1.060568958383445e-05
344.60950649911035,-9.915801298934362,1.2331464975224845e-05
377.97631496846196,-10.589913106290933,1.4250265563419871e-05
414.57386399033265,-11.330149727665326,1.6421244806910912e-05
454.71496995311946,-12.142996858994142,1.8802423652871153e-05
498.7427376856724,-13.035570343941828,2.1448594089329104e-05
547.0334931349296,-14.015688693740348,2.4374685909089828e-05
599.9999999999997,-15.09193505123568,2.7603597431358277e-05
