Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.000024245868241,1.7674135139466445e-05
164.52374695419385,-6.290613200823095,1.872217086763133e-05
180.45375541231755,-6.609768882256586,1.9817021448004607e-05
197.92618661593409,-6.960283688810715,2.096441166812551e-05
217.09038561605675,-7.345257333263454,2.2366336887394726e-05
238.11015779522984,-7.768066136472143,2.4065734261326427e-05
261.1651689888373,-8.2324010384758,2.5936812954087996e-05
286.45248117312485,-8.742334832633926,2.7954810401948365e-05
314.18823684618803,-9.302322190152273,3.022935367620587e-05
344.60950649911035,-9.917266322387805,3.2725613581139235e-05
377.97631496846196,-10.592572383236854,3.5399854654148306e-05
414.57386399033265,-11.33415989003418,3.8337500756318256e-05
454.71496995311946,-12.14853276472549,4.156250273710539e-05
498.7427376856724,-13.042822490624854,4.508174299589499e-05
547.0334931349296,-14.024880804902125,4.893521383484246e-05
599.9999999999997,-15.10309284980635,5.339652292553899e-05
