Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.034507108228404,1.4424053245861089e-05
164.52374695419385,-6.324203192571686,1.5557611737264137e-05
180.45375541231755,-6.642340675118765,1.676782231062953e-05
197.92618661593409,-6.991703722592907,1.808690257370397e-05
217.09038561605675,-7.375349743694042,1.9481074496574747e-05
238.11015779522984,-7.796637766400508,2.097651495465526e-05
261.1651689888373,-8.259261693936091,2.2588229000632382e-05
286.45248117312485,-8.767277674788588,2.4283299265226486e-05
314.18823684618803,-9.325138082005465,2.6066106049633648e-05
344.60950649911035,-9.937722499790597,2.7990976220089563e-05
377.97631496846196,-10.610412305374059,3.0032931355326913e-05
414.57386399033265,-11.349103631550905,3.219769326098181e-05
454.71496995311946,-12.160263381209282,3.4481311632934475e-05
498.7427376856724,-13.051004224201066,3.687236719739001e-05
547.0334931349296,-14.029121897277005,3.9335500579165415e-05
599.9999999999997,-15.10319953651433,4.249293652960839e-05
