Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.031901612689112,1.6782132634517555e-05
164.52374695419385,-6.321681304440036,1.8180687214360693e-05
180.45375541231755,-6.63991062964134,1.9672702119669097e-05
197.92618661593409,-6.989378281145818,2.129433196094979e-05
217.09038561605675,-7.373163285025676,2.3026483112311423e-05
238.11015779522984,-7.7946315764532725,2.491305957815013e-05
261.1651689888373,-8.257474667093605,2.694559929070908e-05
286.45248117312485,-8.765755725195115,2.9092218232903017e-05
314.18823684618803,-9.323936119867168,3.139109906970834e-05
344.60950649911035,-9.936906875832843,3.387751548936701e-05
377.97631496846196,-10.610043686889027,3.658722917857406e-05
414.57386399033265,-11.349273735191307,3.944890470370265e-05
454.71496995311946,-12.161078337234178,4.249391711218268e-05
498.7427376856724,-13.052537433220369,4.576781944848288e-05
547.0334931349296,-14.031457658112354,4.9289137135325646e-05
599.9999999999997,-15.106418519928184,5.355991086527001e-05
