Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.021215147087948,1.6737560614643415e-06
164.52374695419385,-6.3112884107298335,2.6785282927875606e-06
180.45375541231755,-6.629820356787812,4.1877995622548475e-06
197.92618661593409,-6.979605860698672,5.7239953693168346e-06
217.09038561605675,-7.3637062164517335,7.2575669738845626e-06
238.11015779522984,-7.785487840900562,8.83220459286464e-06
261.1651689888373,-8.24864541574659,1.0645381767666508e-05
286.45248117312485,-8.757237664640225,1.2638683630379648e-05
314.18823684618803,-9.315717360182731,1.481533689627787e-05
344.60950649911035,-9.928974535784011,1.726100361856103e-05
377.97631496846196,-10.602388147695326,1.991719018902209e-05
414.57386399033265,-11.341863807525751,2.2888066938021286e-05
454.71496995311946,-12.153873160352632,2.623829083996349e-05
498.7427376856724,-13.045518057132227,2.9952241472964915e-05
547.0334931349296,-14.02459995760616,3.405251107348247e-05
599.9999999999997,-15.099687675171694,3.8648352501607195e-05
