Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.008378521851293,1.0832985068408665e-06
164.52374695419385,-6.297766894087095,2.325929168752172e-06
180.45375541231755,-6.6155523641758105,3.967576290602896e-06
197.92618661593409,-6.96451777692822,5.491322286878145e-06
217.09038561605675,-7.347724102736462,7.09254981357752e-06
238.11015779522984,-7.768534748947142,8.802213673437274e-06
261.1651689888373,-8.230631357587693,1.062300975960501e-05
286.45248117312485,-8.7380681325883,1.2594985889234825e-05
314.18823684618803,-9.29529459160118,1.4777339137238218e-05
344.60950649911035,-9.907183034069726,1.7167084035225352e-05
377.97631496846196,-10.579108933582543,1.9887544093728142e-05
414.57386399033265,-11.316964237137892,2.2888972546742682e-05
454.71496995311946,-12.127199546761496,2.6264688431743725e-05
498.7427376856724,-13.01690775822585,3.0012802285625145e-05
547.0334931349296,-13.993890366363193,3.4241334864924147e-05
599.9999999999997,-15.066723597499157,3.885039025034099e-05
