Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.004593013793769,1.9123748768643513e-05
164.52374695419385,-6.293932449906089,2.056286405532315e-05
180.45375541231755,-6.611732970535617,2.219175761794883e-05
197.92618661593409,-6.960777658693776,2.399584093481876e-05
217.09038561605675,-7.344125434034668,2.592971264342656e-05
238.11015779522984,-7.765153877710941,2.8002175954636888e-05
261.1651689888373,-8.227566732900339,3.0137059703077124e-05
286.45248117312485,-8.735439861312747,3.2375980350351463e-05
314.18823684618803,-9.293229167680654,3.4838067533772215e-05
344.60950649911035,-9.905799098115915,3.7446146171561204e-05
377.97631496846196,-10.5785380025905,4.024098130074721e-05
414.57386399033265,-11.317350157092847,4.328232119304426e-05
454.71496995311946,-12.128719919872957,4.661855722425579e-05
498.7427376856724,-13.019788946272843,5.021582206549634e-05
547.0334931349296,-13.99840456490353,5.4126397390873744e-05
599.9999999999997,-15.072820999694173,5.884398956512719e-05
