Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.996618256654942,1.1565282915128409e-06
164.52374695419385,-6.286069152491669,2.297946781122612e-06
180.45375541231755,-6.603925003132774,3.952385955292302e-06
197.92618661593409,-6.952972303154202,5.4586020564410886e-06
217.09038561605675,-7.336267126752934,7.048562256190895e-06
238.11015779522984,-7.757169631607449,8.700955163976562e-06
261.1651689888373,-8.219367677781644,1.049995161607445e-05
286.45248117312485,-8.726913427269333,1.248661818611479e-05
314.18823684618803,-9.28425977176778,1.4725862933443522e-05
344.60950649911035,-9.896294280523254,1.7164525587136083e-05
377.97631496846196,-10.568370595505474,1.9882368270320045e-05
414.57386399033265,-11.306380603552137,2.289377939852709e-05
454.71496995311946,-12.116791045511278,2.626658866210869e-05
498.7427376856724,-13.006697547678337,2.9989002352829452e-05
547.0334931349296,-13.983913968107052,3.416177988881056e-05
599.9999999999997,-15.057003520154282,3.882750831008062e-05
