Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.990121739459612,2.0598365190947383e-05
164.52374695419385,-6.279981812989108,2.226972673963316e-05
180.45375541231755,-6.59832022480803,2.4052696477035464e-05
197.92618661593409,-6.947935640418427,2.598394113698055e-05
217.09038561605675,-7.331892880901378,2.8111001521399755e-05
238.11015779522984,-7.753544701727991,3.0449624871835898e-05
261.1651689888373,-8.216596296629293,3.301047734890743e-05
286.45248117312485,-8.725123869722665,3.5777169535128455e-05
314.18823684618803,-9.283586858911352,3.878549023033824e-05
344.60950649911035,-9.89688775866666,4.20482131577655e-05
377.97631496846196,-10.570400777503288,4.557675378512227e-05
414.57386399033265,-11.310059923342944,4.9367541897254984e-05
454.71496995311946,-12.122374195193931,5.341004193234839e-05
498.7427376856724,-13.014482415350665,5.781115130835131e-05
547.0334931349296,-13.99424058284248,6.249376941432286e-05
599.9999999999997,-15.070127767836826,6.803579814821294e-05
