Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.990229618102722,2.274931034370222e-05
164.52374695419385,-6.279978125953747,2.468932770542348e-05
180.45375541231755,-6.5982295556277295,2.6753836338235604e-05
197.92618661593409,-6.9477782913034005,2.891079703406983e-05
217.09038561605675,-7.331678648339261,3.1199346361243015e-05
238.11015779522984,-7.753296425321404,3.370153692350311e-05
261.1651689888373,-8.216331565125378,3.643919208874733e-05
286.45248117312485,-8.724853013894242,3.942259587646082e-05
314.18823684618803,-9.283339737831426,4.27278618649184e-05
344.60950649911035,-9.896675628833382,4.634744099430751e-05
377.97631496846196,-10.570231999118079,5.021863970401391e-05
414.57386399033265,-11.309947866718625,5.440662641918429e-05
454.71496995311946,-12.12235338355368,5.89699463724422e-05
498.7427376856724,-13.014582026052679,6.39377515924682e-05
547.0334931349296,-13.994487434641744,6.932631928322926e-05
599.9999999999997,-15.070416834914727,7.554335915100773e-05
