Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.9946772207275805,1.6258459466359625e-06
164.52374695419385,-6.284046033845863,2.670509021005759e-06
180.45375541231755,-6.601810061285393,4.2463025805994375e-06
197.92618661593409,-6.950754776443223,5.844236277531603e-06
217.09038561605675,-7.333941758560324,7.455371131432736e-06
238.11015779522984,-7.754729856611403,9.178819390413723e-06
261.1651689888373,-8.216802851016649,1.1025930462850338e-05
286.45248117312485,-8.724208995485165,1.3023058361379752e-05
314.18823684618803,-9.28139319181813,1.5221986578944805e-05
344.60950649911035,-9.893243068893339,1.767386952309229e-05
377.97631496846196,-10.565126056450541,2.041110891043072e-05
414.57386399033265,-11.302932163394406,2.345092168985628e-05
454.71496995311946,-12.113117612666603,2.6820619397354432e-05
498.7427376856724,-13.002792318421072,3.0692980053019706e-05
547.0334931349296,-13.979759131312912,3.497174827859328e-05
599.9999999999997,-15.052562608267678,3.96872338339611e-05
