Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.992792277669439,2.4282016237527763e-05
164.52374695419385,-6.282217403117638,2.6430791348624863e-05
180.45375541231755,-6.600150968425699,2.849397671979347e-05
197.92618661593409,-6.949430445148056,3.0679777503373176e-05
217.09038561605675,-7.333128122704186,3.292883269831602e-05
238.11015779522984,-7.754637857450217,3.5153625502201874e-05
261.1651689888373,-8.217656653360267,3.718161959922427e-05
286.45248117312485,-8.726248138626023,3.961158241597589e-05
314.18823684618803,-9.284858677155734,4.234009865961486e-05
344.60950649911035,-9.89840783506504,4.547488533878479e-05
377.97631496846196,-10.572294326576095,4.90445163451524e-05
414.57386399033265,-11.312389581665432,5.2964119093143526e-05
454.71496995311946,-12.125200158877409,5.721484899348198e-05
498.7427376856724,-13.017889127992202,6.191560836320997e-05
547.0334931349296,-13.9983496693648,6.700743959917238e-05
599.9999999999997,-15.074586571351844,7.300433846211334e-05
