Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0197480595556385,1.765720912909963e-05
164.52374695419385,-6.309250493335471,1.9149022150795384e-05
180.45375541231755,-6.627160632400619,2.076398568387431e-05
197.92618661593409,-6.976272302493787,2.2531368253024034e-05
217.09038561605675,-7.359644040816039,2.442715626744415e-05
238.11015779522984,-7.780638885211422,2.647619185602839e-05
261.1651689888373,-8.24295578998074,2.8677618067775444e-05
286.45248117312485,-8.750649718704263,3.102428555398303e-05
314.18823684618803,-9.308172763175957,3.35448169902509e-05
344.60950649911035,-9.92041893666428,3.622885537541864e-05
377.97631496846196,-10.592860178498787,3.8831741867569364e-05
414.57386399033265,-11.331522588435107,4.1306578349454096e-05
454.71496995311946,-12.142953135453668,4.1665071934100375e-05
498.7427376856724,-13.03430881835448,4.127481161742369e-05
547.0334931349296,-14.013592139190589,4.2275395539217425e-05
599.9999999999997,-15.088495423610183,4.5383666616850664e-05
