Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.026685816594091,1.4452973163033419e-05
164.52374695419385,-6.31614826405753,1.561122889782204e-05
180.45375541231755,-6.634017287141424,1.6848997498551103e-05
197.92618661593409,-6.983080786407847,1.8148621492285566e-05
217.09038561605675,-7.366397484375028,1.9539912593224524e-05
238.11015779522984,-7.787330382331182,2.1032573280134174e-05
261.1651689888373,-8.249573149587865,2.2611010791653098e-05
286.45248117312485,-8.757166770103495,2.4320059627305973e-05
314.18823684618803,-9.314566086955534,2.6096306730098462e-05
344.60950649911035,-9.926669276833996,2.8033836765031465e-05
377.97631496846196,-10.598841401097307,3.0051217039970205e-05
414.57386399033265,-11.336974248322944,3.217359267846481e-05
454.71496995311946,-12.147535149628412,3.4360364695578203e-05
498.7427376856724,-13.037628360901351,3.670542578814929e-05
547.0334931349296,-14.015056639889101,3.9139997897982263e-05
599.9999999999997,-15.088398914197715,4.2295195102271396e-05
