Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.011413816448007,2.0176789074158487e-06
164.52374695419385,-6.3014315987769915,2.966516697593625e-06
180.45375541231755,-6.619901386352694,4.472207624705602e-06
197.92618661593409,-6.9696148370849,5.92598051430477e-06
217.09038561605675,-7.353639021698298,7.490773877220416e-06
238.11015779522984,-7.7753359403298345,9.139830125897135e-06
261.1651689888373,-8.238400269483785,1.0915307411915102e-05
286.45248117312485,-8.746890225158205,1.2859978442231652e-05
314.18823684618803,-9.305253131363008,1.5094341186747073e-05
344.60950649911035,-9.918382436724855,1.7631057103442357e-05
377.97631496846196,-10.5916508201824,2.0412771359797054e-05
414.57386399033265,-11.33095090191599,2.3432919082809823e-05
454.71496995311946,-12.142756756252654,2.675517935082883e-05
498.7427376856724,-13.034184873978315,3.046742730267279e-05
547.0334931349296,-14.01304946453582,3.461398635522716e-05
599.9999999999997,-15.087903397005741,3.917638352727964e-05
