Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.999967273110174,1.390235080983511e-06
164.52374695419385,-6.289772708033225,2.471676629197013e-06
180.45375541231755,-6.608008813648648,4.107309674737878e-06
197.92618661593409,-6.957468928312968,5.637212264957418e-06
217.09038561605675,-7.341220840420066,7.23287842800918e-06
238.11015779522984,-7.762620588815322,8.90017453808998e-06
261.1651689888373,-8.225364767462215,1.068334960482519e-05
286.45248117312485,-8.733510074011429,1.2678385682012467e-05
314.18823684618803,-9.291498443070683,1.4947421529897762e-05
344.60950649911035,-9.904227707633812,1.7437186875864737e-05
377.97631496846196,-10.577064496878767,2.0204170438677184e-05
414.57386399033265,-11.315903756089096,2.3275695118291615e-05
454.71496995311946,-12.12723261958287,2.6643953506037814e-05
498.7427376856724,-13.018145646367284,3.0424129321627096e-05
547.0334931349296,-13.996448346540898,3.464084438306792e-05
599.9999999999997,-15.07070723673923,3.9313113860710493e-05
