Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.990539887091722,1.4497986013332939e-06
164.52374695419385,-6.28023407655007,2.519411301845918e-06
180.45375541231755,-6.598351920440978,4.080458171839656e-06
197.92618661593409,-6.947683807229453,5.591532557562834e-06
217.09038561605675,-7.331295380595668,7.163466504515214e-06
238.11015779522984,-7.752547174932222,8.818364193614271e-06
261.1651689888373,-8.215127469139379,1.0643802292365013e-05
286.45248117312485,-8.723087009840441,1.2630656575702713e-05
314.18823684618803,-9.280880590353885,1.4826047687887845e-05
344.60950649911035,-9.893400500285605,1.7295588299478038e-05
377.97631496846196,-10.566007016122343,2.0006349459664448e-05
414.57386399033265,-11.304598504689475,2.304067606375633e-05
454.71496995311946,-12.115647385924081,2.6454344392762227e-05
498.7427376856724,-13.00624796672798,3.0156508309746766e-05
547.0334931349296,-13.984212024506894,3.4264240206452245e-05
599.9999999999997,-15.058115031533259,3.887165752659388e-05
