Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.033241630820405,1.1470359807106935e-06
164.52374695419385,-6.32278279520826,2.3477121288338615e-06
180.45375541231755,-6.6407344360099145,3.988548259275295e-06
197.92618661593409,-6.9898870899304715,5.584362319224896e-06
217.09038561605675,-7.373295134068665,7.182165527703747e-06
238.11015779522984,-7.794324025660306,8.815788776162278e-06
261.1651689888373,-8.256664088073489,1.0632375788294372e-05
286.45248117312485,-8.764362013315926,1.2630226863552256e-05
314.18823684618803,-9.321869014671217,1.4848076019053066e-05
344.60950649911035,-9.934064245163896,1.7285911699723814e-05
377.97631496846196,-10.606309411016165,2.004000484066236e-05
414.57386399033265,-11.344506605115981,2.3103047094756665e-05
454.71496995311946,-12.155122903153094,2.652557579054459e-05
498.7427376856724,-13.045253642260016,3.027942726948953e-05
547.0334931349296,-14.022688437061438,3.439489577014605e-05
599.9999999999997,-15.095993505382499,3.900355676425737e-05
