Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.013702647946358,1.55463555203077e-05
164.52374695419385,-6.304004877343469,1.6817151263911883e-05
180.45375541231755,-6.622800104478114,1.819817219556335e-05
197.92618661593409,-6.972886758743114,1.9654579790419958e-05
217.09038561605675,-7.357333799127034,2.1198926638241253e-05
238.11015779522984,-7.77951943920215,2.2862919022681438e-05
261.1651689888373,-8.24314673274221,2.465302591290184e-05
286.45248117312485,-8.752276281404855,2.6581518775822632e-05
314.18823684618803,-9.311378110782735,2.8673636387547973e-05
344.60950649911035,-9.925341000686087,3.092804097017698e-05
377.97631496846196,-10.599523290247957,3.3348856799535895e-05
414.57386399033265,-11.339834923563561,3.589208630876889e-05
454.71496995311946,-12.152761717409609,3.8651225999690147e-05
498.7427376856724,-13.045426057025177,4.15396117389702e-05
547.0334931349296,-14.025637270925765,4.453136875980646e-05
599.9999999999997,-15.10197240426364,4.83057891674488e-05
