Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.005213910608221,1.992748751444106e-06
164.52374695419385,-6.295256536800195,2.958875026356808e-06
180.45375541231755,-6.613753349965013,4.488976830585306e-06
197.92618661593409,-6.963497344407668,5.978625961504135e-06
217.09038561605675,-7.347556671504535,7.525675122653676e-06
238.11015779522984,-7.769290804771446,9.176959880536377e-06
261.1651689888373,-8.232399259365693,1.1012400633742279e-05
286.45248117312485,-8.740937295863134,1.2979767041520771e-05
314.18823684618803,-9.299359569396495,1.5157176834018398e-05
344.60950649911035,-9.912571641256058,1.7630190314617722e-05
377.97631496846196,-10.585929446704894,2.037879153351033e-05
414.57386399033265,-11.325325707858088,2.3412280391024566e-05
454.71496995311946,-12.13724116936542,2.6830082011267615e-05
498.7427376856724,-13.02878413369248,3.0512658388868613e-05
547.0334931349296,-14.007769928699085,3.4724393129937636e-05
599.9999999999997,-15.082770968173875,3.938468257307651e-05
